,angle_x_filter_R,angle_x_filter_L,angle_x_filter_M,angle_y_filter_R,angle_y_filter_L,angle_y_filter_M,angle_x_raw_R,angle_x_raw_L,angle_x_raw_M,angle_y_raw_R,angle_y_raw_L,angle_y_raw_M,radiation_R,radiation_L,radiation_M,temp_R,temp_L,temp_M
2018-01-18 18:34:13.983997,0.111,2.425,-2.469,-0.073,0.891,-0.641,0.104,2.421,-2.467,-0.081,0.895,-0.64,1078.0,1059.0,1058.0,10.7,10.1,10.7
2018-01-18 18:34:14.176008,0.11,2.424,-2.47,-0.072,0.891,-0.641,0.111,2.426,-2.472,-0.065,0.886,-0.639,1080.0,1060.0,1059.0,10.8,10.2,10.9
2018-01-18 18:34:14.368019,0.109,2.423,-2.47,-0.072,0.891,-0.641,0.108,2.42,-2.468,-0.073,0.895,-0.646,1079.0,1058.0,1058.0,10.8,10.1,10.7
2018-01-18 18:34:14.560030,0.109,2.422,-2.47,-0.072,0.891,-0.64,0.105,2.426,-2.474,-0.065,0.885,-0.645,1076.0,1053.0,1054.0,10.5,9.8,10.5
2018-01-18 18:34:14.752041,0.108,2.422,-2.47,-0.071,0.891,-0.64,0.117,2.421,-2.474,-0.061,0.897,-0.634,1070.0,1047.0,1046.0,10.0,9.4,10.2
2018-01-18 18:34:14.944052,0.107,2.421,-2.471,-0.071,0.891,-0.64,0.106,2.415,-2.472,-0.065,0.888,-0.637,1064.0,1041.0,1038.0,9.7,9.0,9.8
2018-01-18 18:34:15.136063,0.107,2.421,-2.472,-0.07,0.891,-0.64,0.111,2.415,-2.472,-0.069,0.893,-0.645,1058.0,1035.0,1032.0,9.4,8.6,9.5
2018-01-18 18:34:15.328074,0.107,2.42,-2.472,-0.069,0.891,-0.641,0.104,2.418,-2.471,-0.065,0.897,-0.64,1053.0,1032.0,1027.0,9.2,8.4,9.2
2018-01-18 18:34:15.520085,0.107,2.42,-2.473,-0.068,0.89,-0.641,0.103,2.418,-2.478,-0.053,0.886,-0.626,1050.0,1031.0,1024.0,9.2,8.2,9.1
2018-01-18 18:34:15.712096,0.107,2.419,-2.474,-0.068,0.89,-0.641,0.096,2.419,-2.476,-0.065,0.886,-0.644,1047.0,1030.0,1022.0,9.1,8.1,9.0
2018-01-18 18:34:15.904107,0.106,2.419,-2.474,-0.066,0.89,-0.641,0.108,2.419,-2.474,-0.056,0.891,-0.638,1044.0,1029.0,1020.0,9.1,8.0,8.9
2018-01-18 18:34:16.096118,0.105,2.419,-2.475,-0.065,0.89,-0.64,0.106,2.419,-2.48,-0.061,0.895,-0.642,1041.0,1027.0,1017.0,8.9,7.9,8.8
2018-01-18 18:34:16.288129,0.105,2.418,-2.476,-0.064,0.89,-0.639,0.108,2.415,-2.481,-0.065,0.894,-0.635,1038.0,1025.0,1014.0,8.7,7.8,8.5
2018-01-18 18:34:16.479140,0.104,2.418,-2.477,-0.062,0.891,-0.638,0.103,2.413,-2.471,-0.053,0.906,-0.641,1036.0,1024.0,1011.0,8.4,7.6,8.2
2018-01-18 18:34:16.671151,0.104,2.417,-2.478,-0.061,0.892,-0.637,0.103,2.416,-2.479,-0.061,0.904,-0.634,1034.0,1024.0,1008.0,8.2,7.5,8.0
2018-01-18 18:34:16.863162,0.104,2.417,-2.478,-0.06,0.893,-0.635,0.102,2.417,-2.479,-0.061,0.899,-0.634,1034.0,1027.0,1007.0,8.0,7.6,7.8
2018-01-18 18:34:17.055173,0.104,2.416,-2.478,-0.059,0.894,-0.633,0.104,2.414,-2.476,-0.053,0.895,-0.627,1035.0,1033.0,1008.0,8.0,7.8,7.8
2018-01-18 18:34:17.247184,0.104,2.416,-2.479,-0.059,0.895,-0.631,0.092,2.411,-2.478,-0.051,0.898,-0.637,1037.0,1037.0,1010.0,8.1,8.0,7.9
2018-01-18 18:34:17.439195,0.104,2.416,-2.479,-0.059,0.896,-0.63,0.101,2.399,-2.479,-0.063,0.904,-0.628,1041.0,1044.0,1015.0,8.4,8.6,8.2
2018-01-18 18:34:17.631206,0.103,2.415,-2.479,-0.059,0.897,-0.63,0.094,2.412,-2.486,-0.058,0.906,-0.628,1048.0,1052.0,1021.0,9.0,9.4,8.6
2018-01-18 18:34:17.823217,0.102,2.414,-2.479,-0.059,0.898,-0.63,0.095,2.404,-2.475,-0.062,0.905,-0.63,1059.0,1064.0,1032.0,9.8,10.4,9.3
2018-01-18 18:34:18.015228,0.101,2.413,-2.479,-0.059,0.899,-0.63,0.1,2.412,-2.48,-0.054,0.901,-0.618,1068.0,1074.0,1044.0,10.5,11.2,10.0
2018-01-18 18:34:18.207239,0.1,2.412,-2.479,-0.059,0.9,-0.63,0.096,2.41,-2.485,-0.061,0.902,-0.627,1079.0,1083.0,1057.0,11.3,11.9,10.8
2018-01-18 18:34:18.401250,0.099,2.411,-2.479,-0.059,0.901,-0.63,0.096,2.404,-2.477,-0.061,0.909,-0.617,1085.0,1088.0,1063.0,11.8,12.3,11.2
2018-01-18 18:34:18.591261,0.099,2.411,-2.479,-0.058,0.901,-0.631,0.104,2.413,-2.481,-0.061,0.901,-0.629,1084.0,1086.0,1065.0,11.8,12.2,11.3
2018-01-18 18:34:18.783272,0.099,2.41,-2.48,-0.057,0.902,-0.63,0.101,2.411,-2.485,-0.052,0.904,-0.632,1079.0,1078.0,1061.0,11.4,11.6,11.0
2018-01-18 18:34:18.975283,0.099,2.41,-2.48,-0.057,0.903,-0.63,0.097,2.41,-2.483,-0.048,0.908,-0.621,1071.0,1066.0,1051.0,10.7,10.9,10.3
2018-01-18 18:34:19.167294,0.099,2.409,-2.481,-0.056,0.904,-0.629,0.094,2.416,-2.489,-0.061,0.904,-0.627,1060.0,1054.0,1040.0,9.9,10.0,9.6
2018-01-18 18:34:19.359304,0.1,2.409,-2.481,-0.055,0.905,-0.628,0.101,2.408,-2.485,-0.054,0.901,-0.627,1049.0,1041.0,1028.0,9.1,9.1,8.9
2018-01-18 18:34:19.551315,0.099,2.409,-2.482,-0.053,0.906,-0.627,0.09,2.403,-2.48,-0.052,0.911,-0.626,1043.0,1032.0,1020.0,8.6,8.5,8.5
2018-01-18 18:34:19.743326,0.099,2.409,-2.483,-0.052,0.906,-0.626,0.093,2.406,-2.485,-0.049,0.914,-0.622,1041.0,1028.0,1017.0,8.4,8.4,8.4
2018-01-18 18:34:19.934337,0.098,2.408,-2.484,-0.052,0.907,-0.626,0.097,2.413,-2.489,-0.049,0.901,-0.629,1043.0,1028.0,1018.0,8.5,8.5,8.6
2018-01-18 18:34:20.126348,0.097,2.408,-2.485,-0.051,0.907,-0.626,0.093,2.408,-2.488,-0.042,0.905,-0.619,1045.0,1030.0,1021.0,8.7,8.6,8.7
2018-01-18 18:34:20.318359,0.095,2.408,-2.486,-0.051,0.908,-0.625,0.094,2.406,-2.489,-0.053,0.91,-0.623,1048.0,1034.0,1024.0,8.9,8.8,8.9
2018-01-18 18:34:20.510370,0.095,2.407,-2.486,-0.05,0.908,-0.625,0.092,2.408,-2.484,-0.049,0.913,-0.625,1050.0,1038.0,1026.0,9.0,8.9,8.9
2018-01-18 18:34:20.702381,0.093,2.407,-2.487,-0.048,0.908,-0.625,0.089,2.401,-2.5,-0.046,0.908,-0.621,1052.0,1041.0,1029.0,9.1,8.9,8.9
2018-01-18 18:34:20.894392,0.092,2.406,-2.487,-0.048,0.908,-0.624,0.092,2.403,-2.49,-0.044,0.906,-0.627,1053.0,1042.0,1031.0,9.2,8.9,9.0
2018-01-18 18:34:21.086403,0.091,2.405,-2.487,-0.047,0.908,-0.624,0.096,2.398,-2.491,-0.05,0.911,-0.616,1056.0,1044.0,1034.0,9.4,9.1,9.1
2018-01-18 18:34:21.278414,0.091,2.404,-2.488,-0.047,0.909,-0.624,0.096,2.399,-2.496,-0.046,0.919,-0.614,1060.0,1048.0,1038.0,9.6,9.5,9.5
2018-01-18 18:34:21.470425,0.09,2.403,-2.488,-0.048,0.91,-0.623,0.091,2.404,-2.495,-0.048,0.92,-0.622,1066.0,1050.0,1041.0,9.9,9.8,9.9
2018-01-18 18:34:21.662436,0.09,2.402,-2.489,-0.048,0.911,-0.623,0.095,2.398,-2.493,-0.048,0.92,-0.618,1068.0,1050.0,1041.0,9.9,9.9,10.1
2018-01-18 18:34:21.854447,0.09,2.401,-2.489,-0.049,0.912,-0.622,0.094,2.403,-2.489,-0.036,0.919,-0.616,1064.0,1046.0,1037.0,9.6,9.7,10.0
2018-01-18 18:34:22.046458,0.09,2.401,-2.49,-0.049,0.914,-0.621,0.094,2.394,-2.495,-0.033,0.909,-0.629,1057.0,1039.0,1031.0,9.1,9.1,9.6
2018-01-18 18:34:22.238469,0.09,2.401,-2.49,-0.048,0.915,-0.62,0.091,2.404,-2.493,-0.036,0.921,-0.619,1048.0,1028.0,1021.0,8.6,8.4,9.1
2018-01-18 18:34:22.430480,0.09,2.401,-2.491,-0.047,0.916,-0.619,0.091,2.398,-2.491,-0.036,0.923,-0.619,1038.0,1019.0,1013.0,8.0,7.7,8.6
2018-01-18 18:34:22.622491,0.091,2.401,-2.492,-0.046,0.917,-0.619,0.088,2.401,-2.494,-0.036,0.923,-0.615,1030.0,1010.0,1005.0,7.5,7.1,8.1
2018-01-18 18:34:22.814502,0.091,2.402,-2.493,-0.044,0.918,-0.618,0.088,2.399,-2.497,-0.04,0.931,-0.612,1024.0,1004.0,1001.0,7.1,6.6,7.7
2018-01-18 18:34:23.006513,0.091,2.402,-2.493,-0.043,0.919,-0.617,0.081,2.393,-2.496,-0.04,0.918,-0.609,1020.0,1000.0,998.0,7.0,6.4,7.5
2018-01-18 18:34:23.198524,0.091,2.402,-2.494,-0.042,0.92,-0.616,0.084,2.399,-2.501,-0.032,0.922,-0.613,1018.0,997.0,997.0,6.9,6.2,7.4
2018-01-18 18:34:23.390535,0.09,2.402,-2.495,-0.041,0.921,-0.615,0.091,2.401,-2.497,-0.04,0.923,-0.62,1018.0,997.0,998.0,6.9,6.2,7.4
