delay,ptu_ebay_cmd,ptu_d48_cmd
0.0,i,i
0.1,ci,ci
5.0,po8,
6.0,po8,
7.0,po8,
8.0,po8,
9.0,po8,
10.0,po8,
11.0,po8,
12.0,po8,
13.0,po8,
14.0,po-72,
14.1,to-8,
15.0,po8,
16.0,po8,
17.0,po8,
18.0,po8,
19.0,po8,
20.0,po8,
21.0,po8,
22.0,po8,
23.0,po8,
24.0,po-72,
24.1,to-8,
25.0,po8,
26.0,po8,
27.0,po8,
28.0,po8,
29.0,po8,
30.0,po8,
31.0,po8,
32.0,po8,
33.0,po8,
34.0,po-72,
34.1,to-8,
35.0,po8,
36.0,po8,
37.0,po8,
38.0,po8,
39.0,po8,
40.0,po8,
41.0,po8,
42.0,po8,
43.0,po8,
44.0,po-72,
44.1,to-8,
45.0,po8,
46.0,po8,
47.0,po8,
48.0,po8,
49.0,po8,
50.0,po8,
51.0,po8,
52.0,po8,
53.0,po8,
54.0,po-72,
54.1,to-8,
55.0,po8,
56.0,po8,
57.0,po8,
58.0,po8,
59.0,po8,
60.0,po8,
61.0,po8,
62.0,po8,
63.0,po8,
64.0,po-72,
64.1,to-8,
65.0,po8,
66.0,po8,
67.0,po8,
68.0,po8,
69.0,po8,
70.0,po8,
71.0,po8,
72.0,po8,
73.0,po8,
74.0,po-72,
74.1,to-8,
75.0,po8,
76.0,po8,
77.0,po8,
78.0,po8,
79.0,po8,
80.0,po8,
81.0,po8,
82.0,po8,
83.0,po8,
84.0,po-72,
84.1,to-8,
85.0,po8,
86.0,po8,
87.0,po8,
88.0,po8,
89.0,po8,
90.0,po8,
91.0,po8,
92.0,po8,
93.0,po8,
94.0,po-72,
94.1,to-8,
95.0,po8,
96.0,po8,
97.0,po8,
98.0,po8,
99.0,po8,
100.0,po8,
101.0,po8,
102.0,po8,
103.0,po8,
