delay,ptu_ebay_cmd,ptu_d48_cmd
0.0,i,i
0.1,ci,ci
5.0,,po8
6.0,,po8
7.0,,po8
8.0,,po8
9.0,,po8
10.0,,po8
11.0,,po8
12.0,,po8
13.0,,po8
14.0,,po8
15.0,,po8
16.0,,po8
17.0,,po8
18.0,,po8
19.0,,po-112
19.1,,to-16
20.0,,po8
21.0,,po8
22.0,,po8
23.0,,po8
24.0,,po8
25.0,,po8
26.0,,po8
27.0,,po8
28.0,,po8
29.0,,po8
30.0,,po8
31.0,,po8
32.0,,po8
33.0,,po8
34.0,,po-112
34.1,,to-16
35.0,,po8
36.0,,po8
37.0,,po8
38.0,,po8
39.0,,po8
40.0,,po8
41.0,,po8
42.0,,po8
43.0,,po8
44.0,,po8
45.0,,po8
46.0,,po8
47.0,,po8
48.0,,po8
49.0,,po-112
49.1,,to-16
50.0,,po8
51.0,,po8
52.0,,po8
53.0,,po8
54.0,,po8
55.0,,po8
56.0,,po8
57.0,,po8
58.0,,po8
59.0,,po8
60.0,,po8
61.0,,po8
62.0,,po8
63.0,,po8
64.0,,po-112
64.1,,to-16
65.0,,po8
66.0,,po8
67.0,,po8
68.0,,po8
69.0,,po8
70.0,,po8
71.0,,po8
72.0,,po8
73.0,,po8
74.0,,po8
75.0,,po8
76.0,,po8
77.0,,po8
78.0,,po8
79.0,,po-112
79.1,,to-16
80.0,,po8
81.0,,po8
82.0,,po8
83.0,,po8
84.0,,po8
85.0,,po8
86.0,,po8
87.0,,po8
88.0,,po8
89.0,,po8
90.0,,po8
91.0,,po8
92.0,,po8
93.0,,po8
94.0,,po-112
94.1,,to-16
95.0,,po8
96.0,,po8
97.0,,po8
98.0,,po8
99.0,,po8
100.0,,po8
101.0,,po8
102.0,,po8
103.0,,po8
104.0,,po8
105.0,,po8
106.0,,po8
107.0,,po8
108.0,,po8
109.0,,po-112
109.1,,to-16
110.0,,po8
111.0,,po8
112.0,,po8
113.0,,po8
114.0,,po8
115.0,,po8
116.0,,po8
117.0,,po8
118.0,,po8
119.0,,po8
120.0,,po8
121.0,,po8
122.0,,po8
123.0,,po8
124.0,,po-112
124.1,,to-16
125.0,,po8
126.0,,po8
127.0,,po8
128.0,,po8
129.0,,po8
130.0,,po8
131.0,,po8
132.0,,po8
133.0,,po8
134.0,,po8
135.0,,po8
136.0,,po8
137.0,,po8
138.0,,po8
139.0,,po-112
139.1,,to-16
140.0,,po8
141.0,,po8
142.0,,po8
143.0,,po8
144.0,,po8
145.0,,po8
146.0,,po8
147.0,,po8
148.0,,po8
149.0,,po8
150.0,,po8
151.0,,po8
152.0,,po8
153.0,,po8
