cmd_num,delay,ptu_ebay_cmd,ptu_d48_cmd
0,0.0,i,i
1,0.5,ci,ci
2,1.5,ps1,se
3,7.5,po10,
4,18.0,po-10,
5,28.5,ps10,
6,29.0,po100,
7,39.0,po-100,
8,49.0,ps20,
9,49.5,po200,
10,59.5,po-200,
11,69.5,ps30,
12,70.0,po300,
13,80.0,po-300,
14,90.0,ps40,
15,90.5,po400,
16,100.5,po-400,
17,110.5,ps50,
18,111.0,po500,
19,121.0,po-500,
20,131.0,ps60,
21,131.5,po600,
22,141.5,po-600,
23,151.5,ps70,
24,152.0,po700,
25,162.0,po-700,
26,172.0,ps80,
27,172.5,po800,
28,182.5,po-800,
29,192.5,ps90,
30,193.0,po900,
31,203.0,po-900,
32,213.0,ps100,
33,213.5,po1000,
34,223.5,po-1000,
35,233.5,ps110,
36,234.0,po1100,
37,244.0,po-1100,
38,254.0,ps120,
39,254.5,po1200,
40,264.5,po-1200,
41,274.5,ps130,
42,275.0,po1300,
43,285.0,po-1300,
44,295.0,ps140,
45,295.5,po1400,
46,305.5,po-1400,
47,315.5,ps150,
48,316.0,po1500,
49,326.0,po-1500,
50,336.0,ps160,
51,336.5,po1600,
52,346.5,po-1600,
53,356.5,ps170,
54,357.0,po1700,
55,367.0,po-1700,
56,377.0,ps180,
57,377.5,po1800,
58,387.5,po-1800,
59,397.5,ps190,
60,398.0,po1900,
61,408.0,po-1900,
62,418.0,ps200,
63,418.5,po2000,
64,428.5,po-2000,
