cmd_num,delay,ptu_ebay_cmd,ptu_d48_cmd
0,0.0,i,i
1,0.1,cv,se
2,5.0,ps0,
3,5.1,ps2,
4,5.2,ps4,
5,5.3,ps6,
6,5.4,ps8,
7,5.5,ps10,
8,5.6,ps13,
9,5.7,ps15,
10,5.8,ps17,
11,5.9,ps19,
12,6.0,ps21,
13,6.1,ps23,
14,6.2,ps25,
15,6.3,ps27,
16,6.4,ps29,
17,6.5,ps31,
18,6.6,ps33,
19,6.7,ps35,
20,6.8,ps37,
21,6.9,ps39,
22,7.0,ps41,
23,7.1,ps43,
24,7.2,ps44,
25,7.3,ps46,
26,7.4,ps48,
27,7.5,ps50,
28,7.6,ps52,
29,7.7,ps54,
30,7.8,ps55,
31,7.9,ps57,
32,8.0,ps59,
33,8.1,ps60,
34,8.2,ps62,
35,8.3,ps64,
36,8.4,ps65,
37,8.5,ps67,
38,8.6,ps68,
39,8.7,ps70,
40,8.8,ps71,
41,8.9,ps73,
42,9.0,ps74,
43,9.1,ps76,
44,9.2,ps77,
45,9.3,ps78,
46,9.4,ps80,
47,9.5,ps81,
48,9.6,ps82,
49,9.7,ps83,
50,9.8,ps84,
51,9.9,ps86,
52,10.0,ps87,
53,10.1,ps88,
54,10.2,ps89,
55,10.3,ps90,
56,10.4,ps90,
57,10.5,ps91,
58,10.6,ps92,
59,10.7,ps93,
60,10.8,ps94,
61,10.9,ps94,
62,11.0,ps95,
63,11.1,ps96,
64,11.2,ps96,
65,11.3,ps97,
66,11.4,ps97,
67,11.5,ps98,
68,11.6,ps98,
69,11.7,ps99,
70,11.8,ps99,
71,11.9,ps99,
72,12.0,ps99,
73,12.1,ps100,
74,12.2,ps100,
75,12.3,ps100,
76,12.4,ps100,
77,12.5,ps100,
78,12.6,ps100,
79,12.7,ps100,
80,12.8,ps100,
81,12.9,ps100,
82,13.0,ps99,
83,13.1,ps99,
84,13.2,ps99,
85,13.3,ps99,
86,13.4,ps98,
87,13.5,ps98,
88,13.6,ps97,
89,13.7,ps97,
90,13.8,ps96,
91,13.9,ps96,
92,14.0,ps95,
93,14.1,ps94,
94,14.2,ps94,
95,14.3,ps93,
96,14.4,ps92,
97,14.5,ps91,
98,14.6,ps90,
99,14.7,ps90,
100,14.8,ps89,
101,14.9,ps88,
102,15.0,ps87,
103,15.1,ps86,
104,15.2,ps84,
105,15.3,ps83,
106,15.4,ps82,
107,15.5,ps81,
108,15.6,ps80,
109,15.7,ps78,
110,15.8,ps77,
111,15.9,ps76,
112,16.0,ps74,
113,16.1,ps73,
114,16.2,ps71,
115,16.3,ps70,
116,16.4,ps68,
117,16.5,ps67,
118,16.6,ps65,
119,16.7,ps64,
120,16.8,ps62,
121,16.9,ps60,
122,17.0,ps59,
123,17.1,ps57,
124,17.2,ps55,
125,17.3,ps54,
126,17.4,ps52,
127,17.5,ps50,
128,17.6,ps48,
129,17.7,ps46,
130,17.8,ps44,
131,17.9,ps43,
132,18.0,ps41,
133,18.1,ps39,
134,18.2,ps37,
135,18.3,ps35,
136,18.4,ps33,
137,18.5,ps31,
138,18.6,ps29,
139,18.7,ps27,
140,18.8,ps25,
141,18.9,ps23,
142,19.0,ps21,
143,19.1,ps19,
144,19.2,ps17,
145,19.3,ps15,
146,19.4,ps13,
147,19.5,ps10,
148,19.6,ps8,
149,19.7,ps6,
150,19.8,ps4,
151,19.9,ps2,
152,20.0,ps0,
153,20.1,ps-2,
154,20.2,ps-4,
155,20.3,ps-6,
156,20.4,ps-8,
157,20.5,ps-10,
158,20.6,ps-13,
