delay,ptu_ebay_cmd,ptu_d48_cmd
0.0,i,i
0.1,cv,se
5.0,ps0,
5.1,ps1,
5.2,ps1,
5.3,ps2,
5.4,ps2,
5.5,ps3,
5.6,ps3,
5.7,ps4,
5.8,ps4,
5.9,ps5,
6.0,ps5,
6.1,ps6,
6.2,ps6,
6.3,ps7,
6.4,ps7,
6.5,ps8,
6.6,ps8,
6.7,ps9,
6.8,ps9,
6.9,ps10,
7.0,ps10,
7.1,ps11,
7.2,ps11,
7.3,ps12,
7.4,ps13,
7.5,ps13,
7.6,ps14,
7.7,ps14,
7.8,ps15,
7.9,ps15,
8.0,ps16,
8.1,ps16,
8.2,ps17,
8.3,ps17,
8.4,ps18,
8.5,ps18,
8.6,ps19,
8.7,ps19,
8.8,ps20,
8.9,ps20,
9.0,ps21,
9.1,ps21,
9.2,ps22,
9.3,ps22,
9.4,ps23,
9.5,ps23,
9.6,ps24,
9.7,ps24,
9.8,ps25,
9.9,ps25,
10.0,ps26,
10.1,ps26,
10.2,ps27,
10.3,ps27,
10.4,ps28,
10.5,ps28,
10.6,ps29,
10.7,ps29,
10.8,ps30,
10.9,ps30,
11.0,ps31,
11.1,ps31,
11.2,ps32,
11.3,ps32,
11.4,ps33,
11.5,ps33,
11.6,ps34,
11.7,ps34,
11.8,ps35,
11.9,ps35,
12.0,ps36,
12.1,ps36,
12.2,ps37,
12.3,ps37,
12.4,ps38,
12.5,ps38,
12.6,ps39,
12.7,ps39,
12.8,ps40,
12.9,ps40,
13.0,ps41,
13.1,ps41,
13.2,ps42,
13.3,ps42,
13.4,ps43,
13.5,ps43,
13.6,ps44,
13.7,ps44,
13.8,ps44,
13.9,ps45,
14.0,ps45,
14.1,ps46,
14.2,ps46,
14.3,ps47,
14.4,ps47,
14.5,ps48,
14.6,ps48,
14.7,ps49,
14.8,ps49,
14.9,ps50,
15.0,ps50,
15.1,ps50,
15.2,ps51,
15.3,ps51,
15.4,ps52,
15.5,ps52,
15.6,ps53,
15.7,ps53,
15.8,ps54,
15.9,ps54,
16.0,ps54,
16.1,ps55,
16.2,ps55,
16.3,ps56,
16.4,ps56,
16.5,ps57,
16.6,ps57,
16.7,ps58,
16.8,ps58,
16.9,ps58,
17.0,ps59,
17.1,ps59,
17.2,ps60,
17.3,ps60,
17.4,ps60,
17.5,ps61,
17.6,ps61,
17.7,ps62,
17.8,ps62,
17.9,ps63,
18.0,ps63,
