delay,ptu_ebay_cmd,ptu_d48_cmd
0.0,i,i
0.1,cv,cv
5.0,ps0,ps0
5.1,ps0,ps0
5.2,ps1,ps-1
5.3,ps1,ps-1
5.4,ps1,ps-1
5.5,ps1,ps-1
5.6,ps2,ps-2
5.7,ps2,ps-2
5.8,ps2,ps-2
5.9,ps2,ps-2
6.0,ps3,ps-3
6.1,ps3,ps-3
6.2,ps3,ps-3
6.3,ps3,ps-3
6.4,ps4,ps-4
6.5,ps4,ps-4
6.6,ps4,ps-4
6.7,ps4,ps-4
6.8,ps5,ps-5
6.9,ps5,ps-5
7.0,ps5,ps-5
7.1,ps5,ps-5
7.2,ps6,ps-6
7.3,ps6,ps-6
7.4,ps6,ps-6
7.5,ps7,ps-7
7.6,ps7,ps-7
7.7,ps7,ps-7
7.8,ps7,ps-7
7.9,ps8,ps-8
8.0,ps8,ps-8
8.1,ps8,ps-8
8.2,ps8,ps-8
8.3,ps9,ps-9
8.4,ps9,ps-9
8.5,ps9,ps-9
8.6,ps9,ps-9
8.7,ps10,ps-10
8.8,ps10,ps-10
8.9,ps10,ps-10
9.0,ps10,ps-10
9.1,ps11,ps-11
9.2,ps11,ps-11
9.3,ps11,ps-11
9.4,ps11,ps-11
9.5,ps12,ps-12
9.6,ps12,ps-12
9.7,ps12,ps-12
9.8,ps12,ps-12
9.9,ps13,ps-13
10.0,ps13,ps-13
10.1,ps13,ps-13
10.2,ps13,ps-13
10.3,ps14,ps-14
10.4,ps14,ps-14
10.5,ps14,ps-14
10.6,ps14,ps-14
10.7,ps15,ps-15
10.8,ps15,ps-15
10.9,ps15,ps-15
11.0,ps15,ps-15
11.1,ps16,ps-16
11.2,ps16,ps-16
11.3,ps16,ps-16
11.4,ps16,ps-16
11.5,ps17,ps-17
11.6,ps17,ps-17
11.7,ps17,ps-17
11.8,ps17,ps-17
11.9,ps18,ps-18
12.0,ps18,ps-18
12.1,ps18,ps-18
12.2,ps18,ps-18
12.3,ps19,ps-19
12.4,ps19,ps-19
12.5,ps19,ps-19
12.6,ps19,ps-19
12.7,ps20,ps-20
12.8,ps20,ps-20
12.9,ps20,ps-20
13.0,ps20,ps-20
13.1,ps21,ps-21
13.2,ps21,ps-21
13.3,ps21,ps-21
13.4,ps21,ps-21
13.5,ps22,ps-22
13.6,ps22,ps-22
13.7,ps22,ps-22
13.8,ps22,ps-22
13.9,ps22,ps-22
14.0,ps23,ps-23
14.1,ps23,ps-23
14.2,ps23,ps-23
14.3,ps23,ps-23
14.4,ps24,ps-24
14.5,ps24,ps-24
