delay,ptu_ebay_cmd,ptu_d48_cmd
0.0,i,i
0.1,cv,se
5.0,ps0,
5.1,ps1,
5.2,ps2,
5.3,ps3,
5.4,ps4,
5.5,ps5,
5.6,ps6,
5.7,ps7,
5.8,ps8,
5.9,ps9,
6.0,ps10,
6.1,ps11,
6.2,ps12,
6.3,ps13,
6.4,ps14,
6.5,ps15,
6.6,ps16,
6.7,ps17,
6.8,ps18,
6.9,ps19,
7.0,ps20,
7.1,ps21,
7.2,ps22,
7.3,ps23,
7.4,ps24,
7.5,ps25,
7.6,ps26,
7.7,ps27,
7.8,ps28,
7.9,ps29,
8.0,ps29,
8.1,ps30,
8.2,ps31,
8.3,ps32,
8.4,ps33,
8.5,ps33,
8.6,ps34,
8.7,ps35,
8.8,ps36,
8.9,ps36,
9.0,ps37,
9.1,ps38,
9.2,ps39,
9.3,ps39,
9.4,ps40,
9.5,ps40,
9.6,ps41,
9.7,ps42,
9.8,ps42,
9.9,ps43,
10.0,ps43,
10.1,ps44,
10.2,ps44,
10.3,ps45,
10.4,ps45,
10.5,ps46,
10.6,ps46,
10.7,ps46,
10.8,ps47,
10.9,ps47,
11.0,ps48,
11.1,ps48,
11.2,ps48,
11.3,ps48,
11.4,ps49,
11.5,ps49,
11.6,ps49,
11.7,ps49,
11.8,ps49,
11.9,ps50,
12.0,ps50,
12.1,ps50,
12.2,ps50,
12.3,ps50,
12.4,ps50,
12.5,ps50,
12.6,ps50,
12.7,ps50,
12.8,ps50,
12.9,ps50,
13.0,ps50,
13.1,ps50,
13.2,ps49,
13.3,ps49,
13.4,ps49,
13.5,ps49,
13.6,ps49,
13.7,ps48,
13.8,ps48,
13.9,ps48,
14.0,ps48,
14.1,ps47,
14.2,ps47,
14.3,ps46,
14.4,ps46,
14.5,ps46,
14.6,ps45,
14.7,ps45,
14.8,ps44,
14.9,ps44,
15.0,ps43,
15.1,ps43,
15.2,ps42,
15.3,ps42,
15.4,ps41,
15.5,ps40,
15.6,ps40,
15.7,ps39,
15.8,ps39,
15.9,ps38,
16.0,ps37,
16.1,ps36,
16.2,ps36,
16.3,ps35,
16.4,ps34,
16.5,ps33,
16.6,ps33,
16.7,ps32,
16.8,ps31,
16.9,ps30,
17.0,ps29,
17.1,ps29,
17.2,ps28,
17.3,ps27,
17.4,ps26,
17.5,ps25,
17.6,ps24,
17.7,ps23,
17.8,ps22,
17.9,ps21,
18.0,ps20,
