delay,ptu_ebay_cmd,ptu_d48_cmd
0.0,i,i
0.1,cv,cv
5.0,ps0,ps0
5.1,ps2,ps-2
5.2,ps4,ps-4
5.3,ps6,ps-6
5.4,ps8,ps-8
5.5,ps10,ps-10
5.6,ps13,ps-13
5.7,ps15,ps-15
5.8,ps17,ps-17
5.9,ps19,ps-19
6.0,ps21,ps-21
6.1,ps23,ps-23
6.2,ps25,ps-25
6.3,ps27,ps-27
6.4,ps29,ps-29
6.5,ps31,ps-31
6.6,ps33,ps-33
6.7,ps35,ps-35
6.8,ps37,ps-37
6.9,ps39,ps-39
7.0,ps41,ps-41
7.1,ps43,ps-43
7.2,ps44,ps-44
7.3,ps46,ps-46
7.4,ps48,ps-48
7.5,ps50,ps-50
7.6,ps52,ps-52
7.7,ps54,ps-54
7.8,ps55,ps-55
7.9,ps57,ps-57
8.0,ps59,ps-59
8.1,ps60,ps-60
8.2,ps62,ps-62
8.3,ps64,ps-64
8.4,ps65,ps-65
8.5,ps67,ps-67
8.6,ps68,ps-68
8.7,ps70,ps-70
8.8,ps71,ps-71
8.9,ps73,ps-73
9.0,ps74,ps-74
9.1,ps76,ps-76
9.2,ps77,ps-77
9.3,ps78,ps-78
9.4,ps80,ps-80
9.5,ps81,ps-81
9.6,ps82,ps-82
9.7,ps83,ps-83
9.8,ps84,ps-84
9.9,ps86,ps-86
10.0,ps87,ps-87
10.1,ps88,ps-88
10.2,ps89,ps-89
10.3,ps90,ps-90
10.4,ps90,ps-90
10.5,ps91,ps-91
10.6,ps92,ps-92
10.7,ps93,ps-93
10.8,ps94,ps-94
10.9,ps94,ps-94
11.0,ps95,ps-95
11.1,ps96,ps-96
11.2,ps96,ps-96
11.3,ps97,ps-97
11.4,ps97,ps-97
11.5,ps98,ps-98
11.6,ps98,ps-98
11.7,ps99,ps-99
11.8,ps99,ps-99
11.9,ps99,ps-99
12.0,ps99,ps-99
12.1,ps100,ps-100
12.2,ps100,ps-100
12.3,ps100,ps-100
12.4,ps100,ps-100
12.5,ps100,ps-100
12.6,ps100,ps-100
12.7,ps100,ps-100
12.8,ps100,ps-100
12.9,ps100,ps-100
13.0,ps99,ps-99
13.1,ps99,ps-99
13.2,ps99,ps-99
13.3,ps99,ps-99
13.4,ps98,ps-98
13.5,ps98,ps-98
13.6,ps97,ps-97
13.7,ps97,ps-97
13.8,ps96,ps-96
13.9,ps96,ps-96
14.0,ps95,ps-95
14.1,ps94,ps-94
14.2,ps94,ps-94
14.3,ps93,ps-93
14.4,ps92,ps-92
14.5,ps91,ps-91
